항공사,운항편명,출발공항,도착공항,출발시간,도착시간,운항요일,시작일자,종료일자
KAL,KE1009,GMP,CJU,6:40,7:50,매일,2023.3.26,2023.10.28
KAL,KE1017,GMP,CJU,7:00,8:10,매일,2023.3.26,2023.10.28
KAL,KE1019,GMP,CJU,7:15,8:25,매일,2023.8.1,2023.10.28
KAL,KE1023,GMP,CJU,7:30,8:40,월수목금토일,2023.8.1,2023.10.28
KAL,KE1023,GMP,CJU,7:30,8:40,화,2023.8.1,2023.10.28
KAL,KE1033,GMP,CJU,8:10,9:20,월수목금토일,2023.8.1,2023.10.28
KAL,KE1033,GMP,CJU,8:10,9:20,화,2023.8.1,2023.10.28
KAL,KE1045,GMP,CJU,8:55,10:05,월화목금토일,2023.3.26,2023.10.28
KAL,KE1045,GMP,CJU,8:50,10:00,수,2023.3.26,2023.10.28
KAL,KE1049,GMP,CJU,9:00,10:10,매일,2023.3.26,2023.10.28
KAL,KE1055,GMP,CJU,9:30,10:40,매일,2023.3.26,2023.10.28
KAL,KE1073,GMP,CJU,10:35,11:50,월화수금토일,2023.8.1,2023.10.28
KAL,KE1073,GMP,CJU,10:30,11:45,목,2023.8.1,2023.10.28
KAL,KE1075,GMP,CJU,10:45,11:55,매일,2023.3.26,2023.10.28
KAL,KE1081,GMP,CJU,11:00,12:10,월수금일,2023.3.26,2023.10.28
KAL,KE1087,GMP,CJU,11:30,12:40,월수금토일,2023.7.1,2023.10.28
KAL,KE1087,GMP,CJU,11:25,12:30,목,2023.7.1,2023.10.28
KAL,KE1091,GMP,CJU,11:55,13:05,매일,2023.8.17,2023.10.28
KAL,KE1103,GMP,CJU,12:40,13:50,금토,2023.3.26,2023.10.28
KAL,KE1113,GMP,CJU,13:00,14:10,매일,2023.3.26,2023.10.28
KAL,KE1115,GMP,CJU,13:20,14:30,매일,2023.6.7,2023.10.28
KAL,KE1118,CJU,GMP,7:00,8:10,매일,2023.3.26,2023.10.28
KAL,KE1121,GMP,CJU,13:30,14:40,매일,2023.3.26,2023.10.28
KAL,KE1131,GMP,CJU,14:15,15:25,매일,2023.3.26,2023.10.28
KAL,KE1142,CJU,GMP,8:40,9:50,매일,2023.3.26,2023.10.28
KAL,KE1147,GMP,CJU,15:10,16:20,매일,2023.8.17,2023.10.28
KAL,KE1150,CJU,GMP,9:10,10:20,월수금일,2023.3.26,2023.10.28
KAL,KE1153,GMP,CJU,15:35,16:45,매일,2023.8.17,2023.10.28
KAL,KE1156,CJU,GMP,9:35,10:45,월수목금토일,2023.8.1,2023.10.28
KAL,KE1165,GMP,CJU,16:30,17:40,매일,2023.3.26,2023.10.28
KAL,KE1166,CJU,GMP,10:05,11:15,월수목금토일,2023.8.1,2023.10.28
KAL,KE1166,CJU,GMP,10:05,11:15,화,2023.8.1,2023.10.28
KAL,KE1172,CJU,GMP,10:50,12:00,금토,2023.3.26,2023.10.28
KAL,KE1174,CJU,GMP,10:55,12:05,매일,2023.3.26,2023.10.28
KAL,KE1177,GMP,CJU,17:05,18:15,매일,2023.3.26,2023.10.28
KAL,KE1184,CJU,GMP,11:15,12:30,매일,2023.6.7,2023.10.28
KAL,KE1187,GMP,CJU,17:50,19:00,매일,2023.3.26,2023.10.28
KAL,KE1188,CJU,GMP,11:30,12:40,매일,2023.3.26,2023.10.28
KAL,KE1193,GMP,CJU,18:20,19:30,매일,2023.3.26,2023.10.28
KAL,KE1200,CJU,GMP,12:30,13:40,월화수금토일,2023.8.1,2023.10.28
KAL,KE1200,CJU,GMP,12:25,13:35,목,2023.8.1,2023.10.28
KAL,KE1201,GMP,CJU,18:35,19:45,매일,2023.3.26,2023.10.28
KAL,KE1209,GMP,CJU,19:00,20:10,매일,2023.7.1,2023.10.28
KAL,KE1211,GMP,CJU,19:20,20:30,매일,2023.7.1,2023.10.28
KAL,KE1218,CJU,GMP,13:20,14:30,매일,2023.7.1,2023.10.28
KAL,KE1226,CJU,GMP,13:45,14:55,매일,2023.8.17,2023.10.28
KAL,KE1227,GMP,CJU,20:30,21:40,매일,2023.3.26,2023.10.28
KAL,KE1238,CJU,GMP,14:40,15:50,매일,2023.3.26,2023.10.28
KAL,KE1246,CJU,GMP,15:00,16:15,매일,2023.4.10,2023.10.28
KAL,KE1254,CJU,GMP,15:45,17:00,매일,2023.4.10,2023.10.28
KAL,KE1262,CJU,GMP,16:10,17:20,매일,2023.3.26,2023.10.28
KAL,KE1264,CJU,GMP,16:15,17:25,매일,2023.3.26,2023.10.28
KAL,KE1270,CJU,GMP,16:40,17:55,매일,2023.4.10,2023.10.28
KAL,KE1278,CJU,GMP,17:00,18:15,매일,2023.8.17,2023.10.28
KAL,KE1286,CJU,GMP,17:35,18:45,매일,2023.8.17,2023.10.28
KAL,KE1294,CJU,GMP,18:20,19:35,매일,2023.3.26,2023.10.28
KAL,KE1312,CJU,GMP,19:05,20:20,매일,2023.4.10,2023.10.28
KAL,KE1320,CJU,GMP,19:35,20:50,매일,2023.8.1,2023.10.28
KAL,KE1324,CJU,GMP,19:50,21:00,매일,2023.3.26,2023.10.28
KAL,KE1326,CJU,GMP,20:20,21:30,매일,2023.3.26,2023.10.28
KAL,KE1330,CJU,GMP,20:30,21:40,화수목금토일,2023.3.26,2023.10.28
KAL,KE1330,CJU,GMP,20:40,21:50,월,2023.3.26,2023.10.28
KAL,KE1336,CJU,GMP,20:50,22:00,매일,2023.7.1,2023.10.28
KAL,KE1344,CJU,GMP,21:15,22:25,매일,2023.7.1,2023.10.28
KAL,KE1406,PUS,ICN,7:05,8:10,매일,2023.3.26,2023.10.28
KAL,KE1407,ICN,PUS,8:25,9:30,매일,2023.7.27,2023.10.28
KAL,KE1410,PUS,ICN,8:05,9:10,매일,2023.3.26,2023.10.28
KAL,KE1414,PUS,ICN,10:50,11:55,매일,2023.7.27,2023.10.28
KAL,KE1415,ICN,PUS,16:40,17:45,매일,2023.3.26,2023.10.28
KAL,KE1419,ICN,PUS,18:25,19:30,매일,2023.4.23,2023.10.28
KAL,KE1422,PUS,ICN,16:30,17:35,매일,2023.4.23,2023.10.28
KAL,KE1427,ICN,PUS,19:35,20:40,매일,2023.3.26,2023.10.28
KAL,KE1432,TAE,ICN,7:10,8:15,매일,2023.4.24,2023.10.28
KAL,KE1433,ICN,TAE,19:35,20:35,매일,2023.4.23,2023.10.28
KAL,KE1505,PUS,CJU,7:00,8:00,매일,2023.3.26,2023.10.28
KAL,KE1512,CJU,PUS,8:45,9:45,매일,2023.3.26,2023.10.28
KAL,KE1517,PUS,CJU,10:20,11:20,매일,2023.6.7,2023.10.28
KAL,KE1526,CJU,PUS,12:00,13:00,매일,2023.6.7,2023.10.28
KAL,KE1533,PUS,CJU,14:00,15:00,매일,2023.6.7,2023.10.28
KAL,KE1543,PUS,CJU,16:40,17:40,매일,2023.3.26,2023.10.28
KAL,KE1546,CJU,PUS,17:30,18:35,매일,2023.6.7,2023.10.28
KAL,KE1550,CJU,PUS,18:20,19:20,매일,2023.3.26,2023.10.28
KAL,KE1553,PUS,CJU,19:15,20:15,매일,2023.3.26,2023.10.28
KAL,KE1554,CJU,PUS,19:25,20:25,매일,2023.5.1,2023.10.28
KAL,KE1561,PUS,CJU,21:00,22:00,매일,2023.5.1,2023.10.28
KAL,KE1562,CJU,PUS,21:05,22:05,매일,2023.3.26,2023.10.28
KAL,KE1595,USN,CJU,14:20,15:30,월수금토일,2023.3.26,2023.10.28
KAL,KE1595,USN,CJU,14:25,15:35,화목,2023.3.26,2023.10.28
KAL,KE1596,CJU,USN,12:35,13:45,매일,2023.3.26,2023.10.28
KAL,KE1607,KWJ,CJU,10:40,11:35,매일,2023.8.1,2023.10.28
KAL,KE1608,CJU,KWJ,9:10,10:05,매일,2023.8.1,2023.10.28
KAL,KE1613,KWJ,CJU,14:45,15:40,매일,2023.3.26,2023.10.28
KAL,KE1614,CJU,KWJ,13:00,13:55,매일,2023.8.17,2023.10.28
KAL,KE1619,KWJ,CJU,17:40,18:30,매일,2023.8.1,2023.10.28
KAL,KE1620,CJU,KWJ,16:10,17:05,매일,2023.8.1,2023.10.28
KAL,KE1704,CJU,CJJ,7:00,8:10,매일,2023.5.1,2023.10.28
KAL,KE1707,CJJ,CJU,9:05,10:15,매일,2023.5.1,2023.10.28
KAL,KE1708,CJU,CJJ,9:00,10:05,화목토,2023.3.26,2023.10.28
KAL,KE1709,CJJ,CJU,11:05,12:10,화목토,2023.3.26,2023.10.28
KAL,KE1712,CJU,CJJ,12:15,13:20,매일,2023.8.1,2023.10.28
KAL,KE1717,CJJ,CJU,14:05,15:15,매일,2023.8.1,2023.10.28
KAL,KE1722,CJU,CJJ,15:20,16:30,매일,2023.5.1,2023.10.28
KAL,KE1725,CJJ,CJU,17:35,18:45,매일,2023.5.1,2023.10.28
KAL,KE1803,GMP,PUS,7:00,8:05,매일,2023.6.1,2023.10.28
KAL,KE1806,PUS,GMP,8:45,9:45,매일,2023.6.1,2023.10.28
KAL,KE1807,GMP,PUS,8:05,9:10,매일,2023.3.26,2023.10.28
KAL,KE1809,GMP,PUS,9:00,10:05,매일,2023.3.26,2023.10.28
KAL,KE1810,PUS,GMP,10:45,11:45,매일,2023.3.26,2023.10.28
KAL,KE1811,GMP,PUS,10:25,11:30,매일,2023.7.1,2023.10.28
KAL,KE1814,PUS,GMP,12:10,13:15,매일,2023.6.1,2023.10.28
KAL,KE1814,PUS,GMP,12:10,13:10,매일,2023.3.26,2023.10.28
KAL,KE1815,GMP,PUS,12:20,13:25,매일,2023.9.27,2023.10.28
KAL,KE1818,PUS,GMP,14:00,15:05,매일,2023.5.1,2023.10.28
KAL,KE1818,PUS,GMP,14:00,15:00,매일,2023.3.26,2023.10.28
KAL,KE1819,GMP,PUS,14:00,15:05,매일,2023.6.1,2023.10.28
KAL,KE1822,PUS,GMP,15:40,16:40,매일,2023.6.1,2023.10.28
KAL,KE1823,GMP,PUS,16:00,17:05,매일,2023.5.1,2023.10.28
KAL,KE1826,PUS,GMP,17:45,18:45,매일,2023.3.26,2023.10.28
KAL,KE1827,GMP,PUS,17:20,18:25,매일,2023.6.1,2023.10.28
KAL,KE1830,PUS,GMP,19:00,20:05,매일,2023.6.1,2023.10.28
KAL,KE1830,PUS,GMP,19:00,20:00,매일,2023.3.26,2023.10.28
KAL,KE1831,GMP,PUS,19:25,20:35,매일,2023.3.26,2023.10.28
KAL,KE1832,PUS,GMP,20:00,21:05,매일,2023.3.26,2023.10.28
KAL,KE1832,PUS,GMP,20:00,21:00,매일,2023.3.26,2023.10.28
KAL,KE1834,PUS,GMP,21:10,22:15,매일,2023.3.26,2023.10.28
KAL,KE1834,PUS,GMP,21:10,22:10,매일,2023.3.26,2023.10.28
KAL,KE1843,GMP,USN,7:20,8:25,매일,2023.3.26,2023.10.28
KAL,KE1843,GMP,USN,7:25,8:25,매일,2023.3.26,2023.10.28
KAL,KE1844,USN,GMP,9:05,10:05,매일,2023.3.26,2023.10.28
KAL,KE1847,GMP,USN,18:15,19:15,매일,2023.7.1,2023.10.28
KAL,KE1848,USN,GMP,19:40,20:40,매일,2023.3.26,2023.10.28
KAL,KE1848,USN,GMP,19:55,21:00,매일,2023.7.1,2023.10.28
